Название,Жанр/Жанры,Режиссёр,Страна/Страны,Год
"Человек в железной маске (фильм, 1977)",приключения,Майк Ньюэлл,,1977
"Человек в железной маске (фильм, 1939)","приключения,Экранизация",Джеймс Уэйл,США,1939
Человек в белом костюме,"комедия,фантастика",Александр Маккендрик,,"1951,1951,1952"
Атлантик-Сити (фильм),криминальная драма,Луи Маль,"Канада,Франция",1980
"Атлантида, погибший континент","приключения,фантастика",Джордж Пал,,1961
Атлантик (фильм),"боевик,драма,фильм-катастрофа,Эвальд Андре Дюпон",Эвальд Андре Дюпон,Великобритания,1929
Человек бросает якорь,драма,Ариф Бабаев,"СССР,Азербайджанская ССР",1967
Атлантида Русского Севера,"Документальное кино,Софья Горленко",Софья Горленко,Россия,2015
"Атлантида (фильм, 2019)",,"Васянович, Валентин Николаевич",,2019
"Атлантида (фильм, 2017)","научно-фантастический,фильм ужасов",Ксавье Жанс,"Франция,Испания",2017
"Атлантида (фильм, 2002)","мелодрама,Александр Павловский",Александр Павловский,"Россия,Украина",2002
Атлант расправил плечи: Часть 3,,Джеймс Манера,США,
Атлант расправил плечи: Часть 2,"фантастика,драма,детектив",Джон Путч,США,
Атлант расправил плечи: Часть 1,,Пол Йоханссон,США,2011
Атаман Кодр,"драма,киноповесть",Михаил Калик,СССР,1958
Бурный прилив (фильм),Фильм нуар,Джордж Шерман,США,1951
Аткинс (фильм),"Вестерн,Драма",,"ГДР,Румыния",1985
"Атлантида (фильм, 1932)",,"Пабст, Георг Вильгельм",,1932
"Атлантида (фильм, 1921)",,Жак Фейдер,,1921
Бурная ночь,драма,Мауро Болоньини,"Италия,Франция",1959
Бурная река,"боевик,приключенческий фильм",Хуан Фэн,Гонконг,1971
Бури страсти,"драма, ,нуар,Роберт Сиодмак",Роберт Сиодмак,,1931
Бурная вечеринка,Фильм нуар,Гарри Хорнер,США,1956
Бурлящее вино,,Вацлав Ворличек,,1976
Бурлеск (фильм),"драма,мюзикл,мелодрама",Стив Энтин,США,2010
"Бурлаки на Волге (фильм, 1959)","приключения,исторический фильм,Виктор Туржанский",Виктор Туржанский,"Италия,ФРГ",1959
"Бурлаки на Волге (фильм, 1936)",мелодрама,Владимир Стрижевский,,1936
"Бунтарка (фильм, 2012)","драма,семейный фильм",Питер Хоуитт,США,2012
Бунт ушастых,"комедия,семейный,фэнтези",Тим Хилл,США,2011
"Бунтующая юность (фильм, 2009)","комедия,мелодрама",Мигель Артета,США,2009
"Бунтарка (фильм, 2006)","подростковая,комедийная драма",Джессика Бендингер,США,2006
Бунюэль и стол царя Соломона,"приключенческий фильм,фэнтези",Карлос Саура,"Германия,Испания,Мексика",2001
Бунтари неонового бога,драма,Цай Минлян,Китайская Республика,1992
Бунт свиней,"комедия,Рене Рейнумяги",Рене Рейнумяги,,2004
Бунтарь без причины,драма,Николас Рэй,,1955
Бунт самураев,драма,Масаки Кобаяси,Япония,1967
Бунт роботов (фильм),"фантастика,триллер",Майкл Крайтон,,1984
"Восставший (фильм, 2016)",,Кевин Рейнольдс,,"2016,2016"
Восставшие мертвецы (фильм),фильм ужасов,Зэк Липовски,США,2015
Восставшие из мёртвых,"фильм ужасов,комедия",Братья Спириги,Австралия,2003
Воссоединение семьи Мэдеи,"комедия,драма,мелодрама",Тайлер Перри,США,2006
Воссоединение семейки Аддамс,"чёрная комедия,семейный фильм,фэнтези",Дэйв Пэйн,США,1998
Воссоединение в Вене,,Сидни Франклин,,1933
Воспроизведение (фильм),"фильм ужасов,триллер",Майкл Никлз,США,2012
Воспоминания о Павловске,"документальный,Ирина Калинина",Ирина Калинина,СССР,1983
Воспоминания о Мацуко,"драма,комедия,мюзикл",Накасима Тэцуя,Япония,2006
"Воспоминания об убийстве (фильм, 2003)","детектив,социальная драма,черная комедия,сатира",Пон Чжун Хо,Республика Корея,2003
"Воспоминания об убийстве (фильм, 1990)","боевик,криминальный фильм,триллер,Роберт Льюис",Роберт Льюис,США,1990
"Воспоминания о будущем (фильм, 1970)",,Харальд Райнль,,1970
Воспоминания о звёздной пыли,трагикомедия,Вуди Аллен,,"1980,1981,1980,1980"
"Воспоминания о будущем (фильм, 2014)","драма,исторический",Джеймс Кент,,"2014,2015,2015,2015,2015,2015,2014"
Воспоминания неудачника,драма,Бейлли Уолш,Великобритания,2008
Воспоминания золотой рыбки,Романтическая комедия,Элизабет Гил,Ирландия,2003
"Воспоминания (фильм, 2021)","Научная фантастика,Неонуар",Лиза Джой,,2021
"Воспоминания (фильм, 2013)","Ужасы,Триллер,Музыка,Анатолий Пасичник",Анатолий Пасичник,Россия,2013
Воспоминание о курорте,,Пал Шандор,Венгрия,1976
Воспоминание о «Коровьем марше»,Юрий Сааков,Юрий Сааков,СССР,1991
Воспламеняющая взглядом 2: Всё заново,"Ужасы,научная фантастика,триллер,драма",Роберт Исков,США,2002
"Воспламеняющая взглядом (фильм, 2022)",,Тёмная звезда,,2022
"Воспламеняющая взглядом (фильм, 1984)","ужасы,триллер,мистика",Марк Л. Лестер,,1984
Воспитание чувств (фильм),мелодрама,Лоне Шерфиг,Великобритания,2009
Воспитание чувств (мини-сериал),"мини-сериал,экранизация,драма,мелодрама",Марсель Кравенн,Франция,
Воспитывая Аризону,комедия,Братья Коэн,США,1987
Воспитатели,"драма,криминальный",Ханс Вайнгартнер,Австрия,2004
"Гэбриэл (фильм, 2014)",триллер,,,2014
"Гуще, чем кровь","Драма,Ричард Пирс",Ричард Пирс,,1998
Гэрл Гайд,,Юлиуш Махульский,,1995
"Гуцулка Ксеня (фильм, 2019)",мюзикл,Елена Демьяненко,Украина,2019
Гусеница Боро,,Хаяо Миядзаки,,2018
Гусары (фильм),комедия,Алекс Жоффе,"Франция,Испания",1955
"Гуттаперчевый мальчик (фильм, 1957)","драма,Владимир Герасимов",Владимир Герасимов,СССР,1957
Гусар на крыше,"Драма,Исторический фильм",Жан-Поль Раппно,Франция,1995
Гуси-лебеди летят (фильм),"драма,Александр Муратов",Александр Муратов,,
"Гуру (фильм, 2007)",,Мани Ратнам,,2007
Гусарская баллада,"комедия,Эльдар Рязанов",Эльдар Рязанов,СССР,1962
"Гупи поёт, Багха танцует",,Сатьяджит Рай,,1968
Гупёшка,"драма,трагикомедия,Влад Фурман",Влад Фурман,Россия,2017
Гунда (фильм),,Виктор  Косаковсккий,,2020
Гуммо,драма,Хармони Корин,,1997
Гуманоид (фильм),фантастика,Альдо Ладо,,1979
Гуманитарные науки (фильм),"драма,комедия",Джош Рэднор,США,2012
Гум-Гам (фильм),Олег Ерышев,Олег Ерышев,,1985
Гулящая,драма,Иван Кавалеридзе,СССР,1961
Гулящие люди (фильм),"исторический,Илья Гурин",Илья Гурин,,1988
"Гуляй, Вася!",Роман Каримов,Роман Каримов,Россия,2017
Гулять так гулять. Стрелять так стрелять…,,Мирза-Ага (Михаил) Ашумов,СССР,1990
Гул самолётов и земля,фильм-драма,Хидэо Сэкигава,Япония,1957
Дым (фильм),драма,Уэйн Ван,,"1995,1995,1995"
"Гуляй, Вася! Свидание на Бали","Роман Каримов,Александр Калушкин",Роман Каримов,Россия,2021
Дуэт для солиста,мелодрама,Андрей Кончаловский,,1986
ГУЛАГ (фильм),драма,Роджер Янг,,1985
Дым в лесу,,Евгений Карелов,СССР,1955
"Дуэлянт (фильм, 2005)","мелодрама,боевик,комедия",Ли Мён-сэ,,2005
Дуэнья (фильм),"Комедия нравов,Музыкальный фильм,Михаил Григорьев",Михаил Григорьев,,
"Дуэлянт (фильм, 2016)","драма,Алексей Мизгирёв",Алексей Мизгирёв,Россия,2016
Дуэлянты (фильм),"драма,приключения",Ридли Скотт,Великобритания,1977
Дуэль под солнцем,"драма,вестерн",Кинг Видор,,1946
Дуэль до смерти,"боевик,драма",Тони Чхин,Гонконг,1983
Дуэль братьев. История Adidas и Puma,,Оливер Домменгет,Германия,2016
"Дуэль (фильм, 2015)",комическая драма,Маркус Жорже,Бразилия,2015
"Дуэль (фильм, 2010)",драма,Довер Косашвили,США,2010
"Дуэль (фильм, 1971, США)",боевик-триллер,Стивен Спилберг,США,
"Дуэль (фильм, 1971, Гонконг)","боевик,драма",Чжан Чэ,Гонконг,1971
"Дуэль (фильм, 1962)",драма,Кнуд Лейф Томсен,,1962
"Дуэль (фильм, 1961)","драма,Татьяна Березанцева,Лев Рудник",Татьяна Березанцева,СССР,1961
"Дуэль (фильм, 1981)",триллер,Серджиу Николаеску,Румыния,1981
Дуэль (короткометражный),"сатира,романтика,Шпиковский, Николай Григорьевич","Шпиковский, Николай Григорьевич",СССР,1935
Душка (фильм),"драма,комедия",Йос Стеллинг,,2007
Душитель против душителя,"ужасы,триллер,комедия",Слободан Шиян,,1984
Душители из Бомбея,"Детектив,Триллер,Теренс Фишер",Теренс Фишер,Великобритания,1959
"Душители (фильм, 1988)","приключенческий фильм,триллер,драма",Николас Мейер,"Великобритания,Индия",1988
История в Лас-Вегасе,нуар,Роберт Стивенсон,,1952
История Брэндона Тины,,Сьюзан Муска,,1998
История Бонни Паркер,"нуар,биография",Уильям Уитни,США,1958
История болезни (фильм),,Алексей Праздников,СССР,1990
История Бадди Холли,биография,Стив Раш,США,1978
"История Аси Клячиной, которая любила, да не вышла замуж","драма,Андрей Кончаловский",Андрей Кончаловский,СССР,1967
История американского кино от Мартина Скорсезе,документальный,Мартин Скорсезе,,
История Адели Г.,"историко,биографическая,драма",Франсуа Трюффо,Франция,1975
Исторический день,"документальный фильм,Владимир Ешурин",Владимир Ешурин,"Северный Вьетнам,СССР",1955
Истории ужаса,фильм ужасов,Роджер Корман,США,1962
Истории семьи Майровиц,трагикомедия,Ной Баумбах,,2017
История Антуана Фишера,"мелодрама,биографический фильм",Дензел Вашингтон,США,2002
Кубок (фильм),"спортивный фильм,комедия",Кхьенце Норбу,"Бутан,Австралия",1999
Кубинская новелла,,Сергей Колосов,,1962
"Куб (фильм, 2021)","научная фантастика,фильм ужасов",Ясухико Симидзу,,2021
Ктулху (фильм),"триллер,драма",Даниэль Гилдарк,США,2007
Кубанские казаки (фильм),"Музыкальная комедия,Иван Пырьев",Иван Пырьев,СССР,1950
Куба (фильм),мелодрама,Ричард Лестер,США,1979
Куб Ноль,"фантастика,ужасы",Эрни Барбараш,Канада,2004
Куб 2: Гиперкуб,фантастика,Анджей Секула,Канада,2002
Куб (фильм),"фантастика,триллер",Винченцо Натали,,1997
Куб (серия фильмов),,Винченцо Натали,,
"Ктулху (фильм, 2000)",ужасы,Дамиан Хеффернан,,2000
"Кто, если не ты?..",Георгий Кузнецов,Георгий Кузнецов,СССР,1975
"Кто, если не мы (фильм, 1998)","мелодрама,Валерий Приёмыхов",Валерий Приёмыхов,Россия,1998
Луч смерти (фильм),"фантастика,Лев Кулешов,Всеволод Пудовкин",Лев Кулешов,СССР,1925
Луч света младший,драма,Лори Коллье,США,2013
Лусия,Умберто Солас,Умберто Солас,,1968
Лурджа Магданы,"драма,Тенгиз Абуладзе,Резо Чхеидзе",Тенгиз Абуладзе,СССР,1955
"Лурд (фильм, 2009)",драма,Джессика Хаузнер,,2009
Луноликая,"мелодрама,Саван Кумар Так",Саван Кумар Так,,1994
Лунтик. Возвращение домой,,Константин Бронзит,Россия,2024
Луной был полон сад,"драма,Виталий Мельников",Виталий Мельников,Россия,2000
Лунный свет и Валентино,"драма,мелодрама,комедия",Дэвид Анспо,"США,Великобритания",1995
Муай тай (фильм),"боевые искусства,драма",Конгкиат Хомсири,Таиланд,2007
"Му-му (фильм, 1998)","драма,Юрий Грымов",Юрий Грымов,Россия,1998
Мсье Ир,"драма,триллер",Патрис Леконт,Франция,1989
Мсье Жак и другие,"киноальманах,комедия,экранизация","Капланян, Рачья Никитович",СССР,"1964,1964,1964,1964"
"Мстительный орёл (фильм, 1978)","боевик,приключенческий фильм,драма",Сюнь Чун,Гонконг,1978
"Мстительница (фильм, 1996)",,Рам Шетти,Индия,1996
Ночь вампиров,фильм ужасов,Джей С. Кардон,США,2001
Мститель из Гянджабасара,"боевик,фильм-биография,исторический фильм",Расим Оджагов,СССР,1974
Ночь в стиле Disco,,Феликс Михайлов,"Россия,Украина",2004
"Мстительница (фильм, 1988)","боевик,драма",Дэвид Де Кото,,1988
Мстительная красавица,"боевик,приключенческий фильм,драма",Хэ Мэнхуа,Гонконг,1978
"Мститель, или Прогоревшая ставка",,,США,1904
"Ночь генералов (фильм, 1967)","триллер,драма,детектив",Анатоль Литвак,США,1966
Ночь воспоминаний,психологический триллер,Чан Хан Джун,Республика Корея,2017
Ночь в сентябре,"драма,, производственный,Борис Барнет",Борис Барнет,СССР,1939
Ночь в Париже,,Эдуар Бер,Франция,2017
Ночь в осаде,"боевик,триллер",Мэтт Эскандари,США,2019
"Ночь в опере (фильм, 2020)",документальный,Сергей Лозница,Франция,2020
Ночь в опере,,Сэм Вуд,,1935
Ночь в Роксбери,"фарс,комедия",Джон Фортенберри,США,1998
Ночь в музее: Секрет гробницы,"фэнтези,комедия,приключения,семейный",Шон Леви,США,2014
Ночь в музее 2,"фэнтези,комедия,приключения,семейный",Шон Леви,США,2009
Ночь в музее,"фэнтези,комедия,приключения,семейный",Шон Леви,США,2006
Ночь в магазине ужастиков,"приключения,семейный фильм,фэнтези,Дэвид Поаг",Дэвид Поаг,,2022
Ночь в баре Маккула,"комедия,криминальный фильм",Харольд Цварт,США,2001
Ночь была темна,"хоррор,фантастика,драма,Джек Хеллер",Джек Хеллер,США,2014
"Ночь бойца, или Кикбоксинг в США","боевик,спортивный фильм",Рафал Зелински,"Франция,США",1991
Отсчёт тел,"триллер,хоррор",Руджеро Деодато,,1986
Отсутствующий,драма,Марко Бергер,Аргентина,2011
"Отсутствие (фильм, 2011)","драма,мистика,ужасы",Майк Флэнаган,США,2011
Отступники,"криминальная драма,триллер,чёрная комедия",Мартин Скорсезе,США,2006
"Отступник (фильм, 2017)","драма,Людвиг Шаммасян,Пол Шаммасян",Людвиг Шаммасян,Великобритания,2017
"Салам, Ош","комедия,мелодрама",Тынчтыкбек Бугучиев,Кыргызстан,2017
"Отступник (фильм, 1990)","триллер,Деннис Хоппер,Алан Смити",Деннис Хоппер,США,1990
"Отступник (фильм, 1987)","фантастика,Валерий Рубинчик",Валерий Рубинчик,"СССР,Австрия",1987
"Отступник (фильм, 1966)",,Рауль Леви,,1966
"Саламандра (фильм, 1981)",триллер,Петер Циннер,"Италия,Великобритания,США",1981
"Саламандра (фильм, 1971)",,Ален Таннер,Швейцария,1971
"Саламандра (фильм, 1928)","драма,Григорий Рошаль,Михаил Доллер",Григорий Рошаль,СССР,1928
Салават Юлаев (фильм),"история,биография,Яков Протазанов",Яков Протазанов,СССР,1940
"Салам, Нью-Йорк","комедия,мелодрама,драма",Руслан Акун,Кыргызстан,2013
Сакуран,мелодрама,Мика Нинагава,,2007
"Сакко и Ванцетти (фильм, 1971)","драма,исторический",Джулиано Монтальдо,"Италия,Франция",1971
Сайрус (фильм),комедия-драма,Джей Дюпласс,США,2010
Сайонара (фильм),драма,Джошуа Логан,США,1957
Саймон Бирч,Драма,Марк Стивен Джонсон,США,1998
Сайлент Хилл 2 (фильм),"ужасы,готика,сверхъестественное",Майкл Дж. Бассетт,"Франция,США,Канада",2012
Сайлент Хилл (фильм),психологический фильм ужасов,Кристоф Ган,"Канада,Франция",2006
Пылающая звезда,"драма,вестерн",Дон Сигел,США,1960
Пчёлы-убийцы (фильм),"фильм ужасов,триллер,фантастика",Рокни О’Бэннон,США,1995
Пчеловод (фильм),мелодрама,Джеймс Лео Михан,,1925
"Пчеловод (фильм, 2024)","боевик,триллер",Дэвид Эйер,США,2024
"Пчеловод (фильм, 1986)",драматический фильм,Теодорос Ангелопулос,,1986
"Пчелиная матка (фильм, 1978)",кинодетектив,Кон Итикава,Япония,1978
Пуэнт-Курт,драма,Аньес Варда,Франция,1955
Пущик едет в Прагу,"детский фильм,комедия,приключенческий фильм",Лев Голуб,"СССР,Чехословакия",1965
Пушкин. Последняя дуэль,"драма,детектив,Наталья Бондарчук",Наталья Бондарчук,Россия,2006
Пушкин и Пущин (фильм),"Марина Голдовская,Натан Эйдельман",Марина Голдовская,СССР,1980
"Пушки, тёлки и азарт",,Майкл Уинник,США,2012
Пушки острова Наварон,драма,Джей Ли Томпсон,"США,Великобритания",1961
Убежище дьявола,Фильм ужасов,Гильермо Амоедо,Мексика,2017
"Убежище (фильм, 2010)","ужасы,триллер,детектив,мистика",Монс Морлинд,США,2010
Фелисити (фильм),"романтика,драма,эротика",Джон Д. Ламон,Австралия,1978
Фейерверки по средам,драма,Асгар Фархади,,2006
"Фейерверк (фильм, 1997)",драма,Такэси Китано,,1997
"Фейерверк (фильм, 1954)",,Курт Хофман,,1954
Человек Большой реки,документальный,Джон Марингин,,2009
Феерия непонимания,,Ферзан Озпетек,,"2001,2002"
Федька,"военный фильм,Николай Лебедев",Николай Лебедев,СССР,1936
Федора (фильм),"драма,Билли Уайлдер",Билли Уайлдер,"Германия,Франция",1978
Февральский ветер,"психологическая драма,Владимир Досталь",Владимир Досталь,СССР,1981
"Февраль (фильм, 2015)","фильм ужасов,драма",Осгуд Перкинс,"Канада,США",2015
Человек боится,Фильм нуар,Гарри Келлер,США,1957
"Человек Божий (фильм, 2021)","драма,фильм-биография",Елена Попович,Греция,2021
Человек безвозвратный,"драма,Екатерина Гроховская,Пётр Стёпин",Екатерина Гроховская,Россия,2006
Человек без прошлого,"драма,комедия,криминальный фильм",Аки Каурисмяки,Финляндия,2002
Человек без паспорта,"приключения,Анатолий Бобровский",Анатолий Бобровский,СССР,1966
Атака на Пёрл-Харбор (фильм),"военный,драма,биография",Идзуру Нарусима,Япония,2011
Атака мертвецов: Осовец,"военный,Василий Чигинский",Василий Чигинский,"Россия,Белоруссия",2018
"Атака лёгкой кавалерии (фильм, 1936)",мелодрама,Майкл Кёртис,,1936
"Атака лёгкой кавалерии (фильм, 1968)",Тони Ричардсон,Тони Ричардсон,Великобритания,1968
"Атака лёгкой кавалерии (фильм, 1912)","драматический фильм,Джеймс Сирл-Доули",Джеймс Сирл-Доули,США,1912
Атака куриных зомби,"комедия,хоррор,мюзикл",Ллойд Кауфман,,2006
Бунт невесток (фильм),мелодрама,Мелис Абзалов,СССР,1985
Бунт на «Кейне»,драма,Эдвард Дмитрык,США,1954
Бунт в тюремном блоке № 11,Фильм нуар,Дон Сигел,США,1954
Бунраку (фильм),,Гай Моше,"США,Япония",2010
"Бункер (фильм, 2022)","ужасы,триллер",Эдриан Лэнгли,США,2022
"Бункер (фильм, 2011)",триллер,Андрес Баис,"Испания,Колумбия",2011
"Бункер (фильм, 2004)","военный фильм,исторический фильм,драма",Оливер Хиршбигель,"Германия,Италия,Австрия",2004
"Бункер (фильм, 2001)","военный,фильм ужасов",Роб Грин,Великобритания,2001
"Бункер (фильм, 1981, Франция)",,Марк Каро,Франция,1981
Эсперанса (фильм),"фильм-биография,драма,исторический фильм",Серхио Ольхович,"СССР,Мексика",1988
Эспен в королевстве троллей,"фэнтези,приключение",Миккель Бренне Сандемусе,Норвегия,2017
Эспен — самый сложный спуск,"боевик,драма",Патрик Хэсбург,США,1993
Воспитание Риты,"драма,кинокомедия,Льюис Гилберт",Льюис Гилберт,Великобритания,1983
Воспитание крошки,,Говард Хоукс,,1938
Воспитание Каина,"фильм ужасов,триллер,детективный фильм",Брайан Де Пальма,США,1992
"Воскрешение из мёртвых (фильм, 1980)",фильм ужасов,Майк Ньюэлл,Великобритания,1980
Воскрешая мертвецов,"триллер,драма",Мартин Скорсезе,США,1999
Воскресный папа,,Наум Бирман,СССР,1985
Воскрешение Гевина Стоуна,комедия-драма,Даллас Дженкинс,США,2017
"Воскрешение (фильм, 1999)","криминальный фильм,драма,фильм ужасов,триллер",Рассел Малкэхи,США,1999
Гудини (мини-сериал),байопик,Ули Эдель,,2014
Воскресший,ужасы,Дэн О'Бэннон,"США,Канада",1992
Гудрич (фильм),,"Мейерс-Шайер, Холли",,
Гудзонский ястреб,комедия,Майкл Леманн,,1991
"Гудбай, Америка (фильм)","Сарик Андреасян,Сарик Андреасян,Гевонд Андреасян,Армен Ананикян,Константин Ёлкин,Даниил Шаповалов,Елена Серебрянная",Сарик Андреасян,Россия,2020
Губная помада (фильм),"Драма,Триллер,Ламонт Джонсон",Ламонт Джонсон,,1976
Гуантанамера (фильм),"комедия,Томас Гутьеррес Алеа,Хуан Карлос Табио",Томас Гутьеррес Алеа,,1995
Грязь и ярость,"Документальный фильм,музыкальный фильм",Джулиан Темпл,"США,Великобритания",2000
Грязь и мудрость,"драма,комедия",Мадонна,Великобритания,2008
"Грязь (фильм, 2019)",,Джефф Треймейн,США,2019
"Грязь (фильм, 2013)","чёрная,трагикомедия",Джон С. Бэрд,,"2013,2013"
"Гуд бай, Ленин!",Трагикомедия,Вольфганг Беккер,Германия,2003
Души на продажу,"мелодрама,комедия",Руперт Хьюз,,1923
Души в снежном вихре (фильм),"военный фильм,драма,блокбастер",Дзинтарс Дрейбергс,Латвия,2019
Гу-га,"военная,драма,Виллен Новак",Виллен Новак,СССР,1989
Душечка (фильм),"драма,Сергей Колосов",Сергей Колосов,,1966
"Душечка (фильм, 1989)",,Джейн Кэмпион,,"1989,1989"
Душевная рана,"драма,Явуз Тургул",Явуз Тургул,Турция,2004
Душевная кухня,кинокомедия,Фатих Акин,,"2009,2010,2009"
Душа тишины,"драматический,триллер",Джейми Бэббит,США,2006
Душа компании,комедия,Бен Фальконе,США,2018
Душа команды,драматический фильм,Роберто Буэсо,Испания,2022
Душа и персона,,Тхиагараджан Кумарараджа,Индия,2011
Зять из Бомбея,"комедия,социальный,Раджа Тхакур",Раджа Тхакур,,1970
Зюскинд (фильм),"драма,военный",Рудольф ван ден Берг,,2012
Истории призраков,,Энди Найман,Великобритания,2017
Истории наших жизней,,,,2014
Истории на супер 8,,Эмир Кустурица,,2001
Истоки (фильм),,Иван Лукинский,СССР,1973
Истории из морга,фильм ужасов,Расти Кандифф,,1995
Истоки опасности,,Рауль Уолш,США,1943
Истинный цвет,,Джордж Галло,,2006
"Истинные ценности (фильм, 1998, США)",драма,Карл Франклин,США,1998
"Истинные ценности (фильм, 1998, Индия)",драма,К. Мурали Мохан Рао,,1998
Истинные происшествия,,Мурад Ибрагимбеков,Россия,2000
"Истина, любовь и красота","мелодрама,музыкальный фильм",Радж Капур,Индия,1978
Истина в цифрах: Рассказ о Википедии,документальный,Ник Хилл,США,2010
Кто-то там наверху любит меня,"биографический,драма,спортивный",Роберт Уайз,,"1956,1956,1956,1956"
Кто-то следит за мной,"фильм ужасов,триллер,детектив",Джон Карпентер,США,1978
Кто-то особенный,"драма,комедия,Чан Джин",Чан Джин,,2004
Кто-то за дверью,"детектив,Николас Жесснер",Николас Жесснер,Франция,1971
Кто-нибудь видел мою девчонку? (фильм),"драма,Ангелина Никонова",Ангелина Никонова,Россия,2021
"Кто-нибудь видел мою девчонку? (фильм, 1952)",Кинокомедия,Детлеф Сирк,,1952
"Кто я? (фильм, 2010)","детектив,драма,Клим Шипенко",Клим Шипенко,Россия,2010
"Лунный свет (фильм, 2016)","драма,история взросления",Барри Дженкинс,США,2016
"Лунный свет (фильм, 2002)",триллер,Паула ван дер Уст,"Нидерланды,Великобритания,Люксембург,Германия",2002
Лунный полицейский,"фантастика,Боаз Дэвидсон",Боаз Дэвидсон,,1994
Лунный папа,"трагикомедия,Бахтиёр Худойназаров",Бахтиёр Худойназаров,"Австрия,Германия,Россия,Таджикистан,Узбекистан,Швейцария,Франция,Япония",1999
"Лунный камень (фильм, 1935)","приключенческий фильм,Адольф Минкин,Игорь Сорохтин",Адольф Минкин,СССР,1935
Лунный камень (За гранью возможного),фантастика,Роберт Флорей,,1964
Лунный гонщик,"боевик,приключенческий фильм,фантастика,триллер",Льюис Гилберт,"Великобритания,США,Франция",1979
Лунные горы (фильм),"приключенческий фильм,байопик",Боб Рейфелсон,,1990
Лунное сияние (фильм),драма,Ежи Сколимовский,Великобритания,1982
Лунное безумие,драма,Мартин Донован,,1992
Мститель бросает вызов городу,,Умберто Ленци,,"1975,1976,1977,1984"
"Мститель (фильм, 2008, США)","боевик,криминальный фильм,фэнтези,триллер,нуар,супергеройский",Фрэнк Миллер,США,2008
"Мститель (фильм, 1915)",Борис Орлицкий,Борис Орлицкий,Российская империя,1915
"Мститель (фильм, 2006)",триллер,Роберт Марковитц,США,2006
"Мститель (фильм, 1980)","боевик,триллер,криминальный фильм,драма",Джеймс Гликенхаус,США,1980
"Мститель (фильм, 1959, Италия)",,Уильям Дитерле,,1959
Ночь без сна,Фильм нуар,Рой Уорд Бейкер,США,1952
Мстители: Гримм,"боевик,приключения",Джереми М. Инман,,2015
Ночь без птиц,"Мелодрама,Гунар Цилинский",Гунар Цилинский,СССР,1979
Ночь без милосердия,"Александр Файнциммер,Сергей Ермолинский,Курта Занднера",Александр Файнциммер,СССР,1961
Мстители: Эра Альтрона,,Джосс Уидон,США,2015
Мстители: Финал,,Энтони Руссо,США,2019
Мстители: Секретные войны,,,США,
Ночь акул,приключенческий фильм,Тонино Риччи,,1988
Ночь (фильм),драма,Микеланджело Антониони,"Италия,Франция",1961
Ночь — моё царство,"драма,Жорж Лакомб",Жорж Лакомб,,1951
Ночные ястребы,"боевик,триллер",Брюс Малмут,США,1981
Ночные ходы,"криминальный фильм,триллер",Артур Пенн,США,1975
Ночные тетради,"тёмное фэнтези,семейный,ужасы",Дэвид Яровески,США,2021
"Ночные стражи (фильм, 2016)","научное фэнтези,супергеройский фильм,боевик",Эмилис Веливис,Россия,2016
Ночные сёстры,"комедия,мелодрама,Алексей Мурадов",Алексей Мурадов,Россия,2007
Отступление (фильм),"триллер,драма",Майкл Петрони,Австралия,2015
Отстреливая собак,"драма,исторический",Майкл Кейтон-Джонс,"Великобритания,Германия",2005
Отстойный мир,комедия,Джон Уотерс,США,1969
Отставной козы барабанщик,"мелодрама,Георгий Мыльников",Георгий Мыльников,СССР,1981
Отсроченный платёж (фильм),Криминальная мелодрама,Лотар Мендес,США,1932
Отряд спасения,,Мартин Кунерт,США,1998
"Сайгон (фильм, 1948)","Приключенческий боевик,Фильм нуар",Лесли Фентон,США,1948
Отскок,,Стив Карр,США,2005
Отряд Трубачёва сражается,"приключения,военный,Илья Фрэз",Илья Фрэз,СССР,1957
Отряд специального назначения (фильм),"военный фильм,Георгий Кузнецов",Георгий Кузнецов,,1987
Саженцы (фильм),драма,Резо Чхеидзе,СССР,1972
Сады скорпиона,,Олег Ковалов,СССР,1991
Сады Семирамиды (фильм),драма,Семён Долидзе,СССР,1970
Сады осенью,"драма,комедия,Отар Иоселиани",Отар Иоселиани,Франция,2006
Сады камней (фильм),драма,Фрэнсис Форд Коппола,США,1987
Садомания,триллер,Хесус Франко,,"1980,1981"
"Садовник (фильм, 2022)",,Пол Шредер,,"2022,2023"
Пушки Акимбо,"боевик,комедия",Джейсон Ли Хауден,"Великобритания,Германия,Новая Зеландия",2019
"Пучина (фильм, 1958)","Юрий Музыкант,Антонин Даусон,одноимённой пьесе,А. Н. Островского",Юрий Музыкант,СССР,1958
Путь: Во все тяжкие. Фильм,,Винс Гиллиган,США,2019
Путь Халимы,,Арсен А. Остойич,,2012
Путь славы,"Михаил Швейцер,Борис Бунеев,Анатолий Рыбаков",Михаил Швейцер,СССР,1948
Путь Самоделкина (фильм),"Детектив,Экспериментальное кино",,,2009
Путь фламинго,Фильм нуар,Майкл Кёртис,,1949
Путь смерти,,,,1917
"Убежище (фильм, 2009)",драма,Франсуа Озон,Франция,2009
"Убежище (фильм, 2007)","мелодрама,драма",Йон Марковиц,США,2007
"Убежище (фильм, 1998)",триллер,Тибор Такач,,1998
"Убежище (фильм, 1995)","фильм ужасов,триллер,фэнтези",Бретт Леонард,США,1995
Уайти (фильм),,Райнер Вернер Фасбиндер,,1971
